question_id,genre_id,question,option1,option2,option3,option4,answer,explanation
20,1,"지구의 자전 방향은?","동에서 서","서에서 동","남에서 북","북에서 남","서에서 동","지구는 서에서 동으로 자전하며, 이로 인해 태양이 동쪽에서 떠오르게 보입니다."
21,1,"태양에서 일어나는 핵융합 반응의 주요 연료는?",수소,헬륨,탄소,산소,수소,"태양은 수소 핵융합 반응을 통해 에너지를 방출하며, 헬륨이 생성됩니다."
22,1,"우리가 숨 쉬는 공기에서 가장 많은 기체는?",산소,질소,이산화탄소,아르곤,질소,"지구 대기의 약 78%는 질소로 구성되어 있습니다."
23,1,"빛이 공기에서 물로 들어갈 때 어떻게 변하는가?","빠르게 이동","느려지면서 굴절됨","속도가 일정",산란됨,"느려지면서 굴절됨","빛은 밀도가 높은 물질로 들어가면 속도가 감소하고 굴절됩니다."
24,1,"소리의 크기를 나타내는 단위는?",헤르츠(Hz),데시벨(dB),뉴턴(N),볼트(V),데시벨(dB),"소리의 크기는 데시벨(dB) 단위로 측정됩니다."
25,1,"고체에서 액체로 변하는 현상은?",응고,기화,융해,승화,융해,"고체가 열을 흡수하여 액체로 변하는 과정은 융해라고 합니다."
26,1,"지구의 중력가속도는 약 몇 m/s²인가?",9.8,5.5,15.2,20.1,9.8,"지구 표면에서 중력가속도는 약 9.8m/s²입니다."
27,1,"전자기파 중 가시광선보다 파장이 긴 것은?",자외선,엑스선,감마선,적외선,적외선,"적외선은 가시광선보다 파장이 길고, 열을 전달하는 데 중요한 역할을 합니다."
28,1,"우주에서 무중력 상태가 발생하는 이유는?","공기가 없어서","중력이 약해서","자유 낙하 중이라서","태양풍 때문","자유 낙하 중이라서","우주에서의 무중력 상태는 사실 중력이 없는 것이 아니라, 모든 물체가 같은 속도로 자유 낙하하기 때문입니다."
29,1,"바닷물이 염분을 포함하는 이유는?","화산 활동","지구의 중력","강물에서 녹아 나온 광물","태양 복사열","강물에서 녹아 나온 광물","강물이 암석에서 미네랄을 녹여 바다로 흘러 들어가면서 염분이 축적됩니다."
30,1,"태풍의 중심 부분을 무엇이라 하는가?","태풍의 눈","태풍의 벽","태풍의 중심","태풍의 원","태풍의 눈","태풍의 눈은 바람이 비교적 약하고, 날씨가 일시적으로 맑은 영역입니다."
31,1,"빛의 삼원색이 아닌 것은?",빨강,파랑,초록,노랑,노랑,"빛의 삼원색은 빨강(R), 초록(G), 파랑(B)이며, 노랑은 혼합된 색입니다."
32,1,"지구의 맨틀을 이루는 주요 성분은?","규산염 광물","철과 니켈","산소와 수소",이산화탄소,"규산염 광물","맨틀은 규산염 광물로 구성되어 있으며, 지구 부피의 대부분을 차지합니다."
33,1,"사람의 혈액에서 산소를 운반하는 단백질은?",알부민,글로불린,헤모글로빈,피브린,헤모글로빈,"헤모글로빈은 산소와 결합하여 몸 전체로 산소를 운반합니다."
34,1,"물의 표면 장력이 높은 이유는?","수소 결합","이온 결합","반데르발스 힘","코발렌트 결합","수소 결합","수소 결합이 물 분자 간에 강한 인력을 형성하여 표면 장력이 높아집니다."
35,1,"태양계에서 가장 큰 행성은?",지구,화성,목성,토성,목성,"목성은 태양계에서 가장 큰 행성이며, 지구보다 약 1,300배 크기입니다."
36,1,"빛이 프리즘을 통과할 때 발생하는 현상은?",반사,굴절,분산,간섭,분산,"빛이 프리즘을 통과하면 파장에 따라 굴절률이 달라지며, 분산되어 여러 색으로 보입니다."
37,1,"식물이 광합성을 할 때 필요한 기체는?",산소,이산화탄소,질소,메탄,이산화탄소,"광합성 과정에서 식물은 이산화탄소를 흡수하고 산소를 방출합니다."
38,1,"지구 대기의 가장 아래층을 무엇이라 하는가?",성층권,중간권,대류권,열권,대류권,"대류권은 지표면과 가장 가까운 층으로, 날씨 변화가 일어나는 곳입니다."
39,1,"DNA의 구성 요소가 아닌 것은?",당,인산,염기,단백질,단백질,"DNA는 당, 인산, 염기로 구성되며, 단백질은 DNA를 구성하지 않습니다."
40,1,"빛의 속도는 약 몇 km/s인가?",300,"3,000","30,000","300,000","300,000","빛의 속도는 약 300,000km/s로, 우주에서 가장 빠른 속도를 가집니다."
41,1,"핵분열을 이용하는 에너지원은?",태양광,풍력,원자력,수력,원자력,"원자력 발전은 우라늄 등의 원소가 핵분열할 때 방출되는 에너지를 이용합니다."
42,1,"인체에서 가장 큰 장기는?",간,폐,소장,심장,간,"간은 인체에서 가장 큰 장기로, 해독과 단백질 합성 등의 기능을 합니다."
43,1,"태양계에서 고리가 있는 행성이 아닌 것은?",토성,목성,천왕성,화성,화성,"토성, 목성, 천왕성, 해왕성은 고리를 가지고 있지만 화성은 없습니다."
44,1,"전기를 생성하는 기본 입자는?",양성자,중성자,전자,쿼크,전자,"전자는 음전하를 띠며, 전류를 형성하는 기본 입자입니다."
45,1,"대기의 약 21%를 차지하는 기체는?",산소,질소,이산화탄소,아르곤,산소,"지구 대기 중 산소의 비율은 약 21%이며, 생명 유지에 필수적입니다."
46,1,"태양의 표면 온도는 약 몇 도인가?","1,500℃","5,500℃","15,000℃","50,000℃","5,500℃","태양의 표면 온도는 약 5,500℃이며, 중심부 온도는 1,500만℃에 달합니다."
47,1,"자석의 같은 극끼리는?",끌어당긴다,반발한다,무반응,"전류가 흐른다",반발한다,"자석의 같은 극은 반발하고, 다른 극은 서로 끌어당깁니다."
48,1,"초음파를 활용하는 의료 장비는?",MRI,CT,X-ray,"초음파 검사기","초음파 검사기","초음파는 고주파 음파를 사용하여 신체 내부 영상을 얻는 데 활용됩니다."
49,1,"금속이 전기를 잘 전달하는 이유는?","전자 이동이 자유로워서","분자가 강하게 결합해서","빛을 반사하기 때문","중력이 작용해서","전자 이동이 자유로워서","금속은 자유 전자가 많아 전류가 쉽게 흐릅니다."
50,1,"지구에서 가장 깊은 해양 해구는?","마리아나 해구","통가 해구","필리핀 해구","케르마덱 해구","마리아나 해구","마리아나 해구는 약 11,000m 깊이로 지구에서 가장 깊은 해양 해구입니다."
101,2,"고려의 수도는 어디인가요?",개성,서울,평양,개천,개성,"고려의 수도는 개성입니다."
102,2,"한국 전쟁은 어떤 연도에 발생했나요?",1945년,1950년,1949년,1955년,1950년,"한국 전쟁은 1950년에 발생했습니다."
103,2,"조선 왕조의 창건자는 누구인가요?",세종대왕,태조,정조,광해군,태조,"조선 왕조의 창건자는 태조 이성계입니다."
104,2,"일본의 메이지 유신은 어느 시대에 일어났나요?",19세기,20세기,18세기,17세기,19세기,"메이지 유신은 19세기 후반에 발생했습니다."
105,2,"삼국 시대의 마지막 왕국은 무엇인가요?",고구려,백제,신라,"고구려와 백제",신라,"삼국 시대의 마지막 왕국은 신라입니다."
106,2,"한일 합방은 어떤 연도에 이루어졌나요?",1900년,1910년,1895년,1920년,1910년,"한일 합방은 1910년에 이루어졌습니다."
107,2,"한국의 첫 번째 대통령은 누구인가요?",이승만,박정희,김대중,노무현,이승만,"한국의 첫 번째 대통령은 이승만입니다."
108,2,"광복절은 어떤 날짜에 기념하나요?","8월 15일","9월 1일","7월 4일","10월 3일","8월 15일","광복절은 8월 15일에 기념합니다."
109,2,"조선의 제일 큰 전투인 한산도 대첩은 언제 일어났나요?",1592년,1598년,1570년,1555년,1592년,"한산도 대첩은 1592년에 일어났습니다."
110,2,"조선 왕조의 마지막 왕은 누구인가요?",순종,영조,세종대왕,정조,순종,"조선 왕조의 마지막 왕은 순종입니다."
111,2,"한국의 근대화 정책을 추진한 인물은 누구인가요?",이승만,김구,박정희,고종,고종,"고종은 한국의 근대화 정책을 추진했습니다."
112,2,"이순신 장군은 어느 나라와의 전쟁에서 유명한가요?",중국,일본,몽골,러시아,일본,"이순신 장군은 일본과의 전쟁에서 유명합니다."
113,2,"서울의 옛 이름은 무엇인가요?",한양,경주,개성,부산,한양,"서울의 옛 이름은 한양입니다."
114,2,"고구려를 창건한 사람은 누구인가요?",왕건,태조,동명성왕,고주몽,고주몽,"고구려를 창건한 사람은 고주몽입니다."
115,2,"한국의 최초의 여성 대통령은 누구인가요?",박정희,김영삼,이명박,박근혜,박근혜,"한국의 최초의 여성 대통령은 박근혜입니다."
116,2,"대한민국의 헌법은 몇 번 개정되었나요?",5번,9번,10번,7번,9번,"대한민국의 헌법은 9번 개정되었습니다."
117,2,"동학농민운동은 언제 일어났나요?",1866년,1894년,1905년,1910년,1894년,"동학농민운동은 1894년에 일어났습니다."
118,2,"한국 최초의 현대식 병원은 어디에 설립되었나요?",서울,부산,광주,인천,서울,"한국 최초의 현대식 병원은 서울에 설립되었습니다."
119,2,"광주 민주화 운동은 어떤 연도에 일어났나요?",1975년,1980년,1985년,1979년,1980년,"광주 민주화 운동은 1980년에 일어났습니다."
120,2,"고려의 국호는 언제 변경되었나요?",960년,918년,980년,1020년,918년,"고려의 국호는 918년에 변경되었습니다."
121,2,"대한민국의 독립운동가 중 "임시정부"를 세운 사람은 누구인가요?",이승만,김구,손병희,유관순,김구,"김구는 대한민국 임시정부를 세운 인물입니다."
122,2,"세계 2차 대전의 발발 연도는 언제인가요?",1941년,1939년,1945년,1942년,1939년,"세계 2차 대전은 1939년에 발발했습니다."
123,2,"일제 강점기 때 한국에 설치된 최초의 일본식 교육 기관은 무엇인가요?",한일학교,동양학교,정신학교,보통학교,보통학교,"일제 강점기 때 일본식 교육기관은 보통학교입니다."
124,2,"조선 후기 정치 개혁을 시도한 인물은 누구인가요?",정조,세종대왕,문종,태조,정조,"조선 후기 정치 개혁을 시도한 인물은 정조입니다."
125,2,"한반도의 초기 왕국 중 고조선은 어느 지역을 중심으로 존재했나요?",경상도,전라도,강원도,평양,평양,"고조선은 평양을 중심으로 존재했습니다."
126,2,"한국 역사상 최초로 해외에서 대한민국 정부를 수립한 인물은 누구인가요?",김구,이승만,김대중,박정희,이승만,"이승만은 대한민국 임시정부를 수립한 인물입니다."
127,2,"일본의 메이지 유신에 의해 시작된 변화의 중심은 무엇이었나요?","군주제 폐지",산업화,"교육 개혁","군대 강화",산업화,"메이지 유신은 일본의 산업화를 중심으로 이루어졌습니다."
128,2,"광복 후 한국의 분단을 초래한 사건은 무엇인가요?","제2차 세계대전",한국전쟁,독립운동,한일합방,"제2차 세계대전","제2차 세계대전의 끝난 후 한국은 분단되었습니다."
129,2,"한국의 독립운동을 대표하는 인물 중 한 명인 "백범"은 누구인가요?",이승만,김구,박정희,정약용,김구,"백범 김구는 한국의 독립운동을 대표하는 인물입니다."
130,2,"삼국 시대, 신라의 중요한 왕은 누구인가요?",세종,문무,진흥,유신,진흥,"진흥왕은 신라의 중요한 왕 중 한 명입니다."
131,2,"한국에서 전통적인 서민 문화가 꽃피운 시대는 언제인가요?",고려시대,조선시대,삼국시대,백제시대,조선시대,"조선시대는 서민 문화가 꽃피운 시대입니다."
132,2,"임진왜란을 일으킨 일본의 장군은 누구인가요?","도요토미 히데요시","오다 노부나가","시미즈 도쿠마","토요토미 히로시","도요토미 히데요시","임진왜란을 일으킨 일본의 장군은 도요토미 히데요시입니다."
133,2,"고대 중국에서 "삼국지"의 주인공인 왕은 누구인가요?",조조,손권,유비,상해,유비,"삼국지의 주인공은 유비입니다."
134,2,"한국의 고대 왕국 중 가장 오래된 나라는 무엇인가요?",고구려,백제,신라,가야,고구려,"고구려는 한국의 가장 오래된 고대 왕국입니다."
135,2,"한반도의 삼국은 무엇인가요?","고구려, 백제, 신라","고구려, 백제, 가야","백제, 신라, 고려","고구려, 신라, 고창","고구려, 백제, 신라","한반도의 삼국은 고구려, 백제, 신라입니다."
136,2,"고구려의 왕 중 유명한 왕은 누구인가요?",광개토대왕,동명성왕,주몽,을지문덕,광개토대왕,"광개토대왕은 고구려의 유명한 왕입니다."
137,2,"조선 왕조에서 가장 유명한 왕은 누구인가요?",세종대왕,정조,태조,영조,세종대왕,"세종대왕은 조선 왕조에서 가장 유명한 왕입니다."
138,2,"고려의 대표적인 문화유산은 무엇인가요?",고인돌,청동기,불상,팔만대장경,팔만대장경,"고려의 대표적인 문화유산은 팔만대장경입니다."
139,2,"고려시대의 유명한 문학 작품은 무엇인가요?",삼국유사,춘향전,홍길동전,일본서기,삼국유사,"고려시대의 유명한 문학 작품은 삼국유사입니다."
140,2,"한국에서 최초로 철도를 만든 시기는 언제인가요?",1880년대,1890년대,1900년대,1910년대,1890년대,"한국에서 최초로 철도를 만든 시기는 1890년대입니다."
141,2,"한국 전쟁에서 가장 큰 전투는 무엇인가요?",인천상륙작전,"낙동강 전투","서울 전투","철의 삼각지대",인천상륙작전,"인천상륙작전은 한국 전쟁에서 가장 큰 전투였습니다."
142,2,"1948년에 제정된 대한민국의 첫 번째 헌법의 제정 연도는 언제인가요?",1945년,1948년,1950년,1960년,1948년,"1948년에 대한민국의 첫 번째 헌법이 제정되었습니다."
143,2,"한국 역사상 처음으로 전 세계적으로 전파된 문학 작품은 무엇인가요?",홍길동전,춘향전,삼국유사,조선왕조실록,홍길동전,"홍길동전은 한국 역사상 처음으로 전 세계적으로 전파된 문학 작품입니다."
144,2,"한국의 고대 왕국 중에서 가장 큰 영역을 차지한 나라는 무엇인가요?",고구려,신라,백제,가야,고구려,"고구려는 가장 큰 영역을 차지한 고대 왕국입니다."
145,2,"한일 전쟁에서 한국을 침략한 나라는 어느 나라인가요?",중국,몽골,일본,러시아,일본,"한일 전쟁은 일본이 한국을 침략한 전쟁입니다."
146,2,"한국에서 최초의 유학자는 누구인가요?",공자,맹자,소크라테스,한비자,공자,"한국에서 최초의 유학자는 공자입니다."
147,2,"고려의 문화유산 중 세계적으로 인정받은 것은 무엇인가요?",팔만대장경,고인돌,불상,"경주 유적",팔만대장경,"팔만대장경은 세계문화유산으로 인정받았습니다."
148,2,"신라의 대표적인 고분은 무엇인가요?",천마총,구지봉,무령왕릉,고분군,천마총,"천마총은 신라의 대표적인 고분입니다."
149,2,"한국에서 대표적인 도자기 문화가 꽃피운 시기는 언제인가요?",조선시대,고려시대,삼국시대,백제시대,고려시대,"고려시대에 도자기 문화가 꽃피웠습니다."
150,2,"한국에서 최초로 실시된 대학교 입학시험은 언제였나요?",1900년대,1930년대,1950년대,1970년대,1930년대,"한국에서 최초로 대학교 입학시험이 실시된 시기는 1930년대입니다."
201,3,"“그는 내가 좋아하는 노래를 부르다 말고 끊었다”에서 올바른 맞춤법은?","부르다 말고","부르다가 말고","부르며 말고","부르다 끊었다","부르다가 말고","“부르다가 말고”가 맞는 표현이다. 동사나 형용사 뒤에 “-다가 말고”를 붙여야 한다."
202,3,"“내일 시험을 보다가 말고 다른 일을 하기로 했다”에서 올바른 맞춤법은?","보다가 말고","보다가 말고","보며 말고","보기 말고","보다가 말고","“-다가 말고”가 맞는 표현으로, 동작을 중단한 상태를 나타낸다."
203,3,"“그녀는 책을 읽다 말고 나갔다”에서 올바른 맞춤법은?","읽다 말고","읽다 갔다","읽다 나갔다","읽다가 말고","읽다가 말고","“읽다가 말고”가 올바른 표현이다. “-다가 말고” 형태를 사용해야 한다."
204,3,"“나는 일을 하다 말고 쉬었다”에서 올바른 맞춤법은?","일하다 말고","일하다가 말고","일하고 말고","일하다가 쉬었다","일하다가 말고","“일하다가 말고”가 맞는 표현으로, 동작이 중단됨을 의미한다."
205,3,"“그는 영화를 보다 말고 잠들었다”에서 올바른 맞춤법은?","보다 말고","보다가 말고","보며 말고","보기 말고","보다가 말고","“보다가 말고”가 맞는 표현이다. 동작이 중단될 때 “-다가 말고”를 사용한다."
206,3,"“그는 책을 읽다 말고 잠을 잤다”에서 올바른 맞춤법은?","읽다 말고","읽다 갔다","읽다 말고 자다","읽다 말았고","읽다가 말고","“읽다가 말고”가 맞는 표현이다. “-다가 말고” 형태를 유지해야 한다."
207,3,"“나는 가끔 영화를 보다 말고 친구를 만난다”에서 올바른 맞춤법은?","영화를 보다 말고","영화보다 말고","영화보다 말았고","영화를 보다가 말고","영화를 보다가 말고","“보다가 말고”가 맞는 표현이다. 동작이 중단됨을 의미한다."
208,3,"“그는 운동을 하다 말고 뛰어갔다”에서 올바른 맞춤법은?","운동하다 말고","운동하다가 말고","운동하며 말고","운동하다가 말고","운동하다가 말고","“운동하다가 말고”가 맞는 표현이다."
209,3,"“나는 친구와 함께 영화를 보다 말고 집에 갔다”에서 올바른 맞춤법은?","보다 말고","보다가 말고","보면서 말고","보기 말고","보다가 말고","“-다가 말고” 형태가 맞는 표현이다."
210,3,"“그녀는 일을 하다가 말고 쉬었다”에서 올바른 맞춤법은?","일하다 말고","일하다가 말고","일하다 말고 쉬었다","일하다 쉬었다","일하다가 말고","“-다가 말고”가 맞는 표현이다."
211,3,"“그는 자주 놀다가 말고 공부를 한다”에서 올바른 맞춤법은?","놀다 말고","놀다가 말고","놀다 말았고","놀고 말고","놀다가 말고","“-다가 말고” 형태를 유지해야 한다."
212,3,"“그녀는 수업을 듣다가 말고 화장실에 갔다”에서 올바른 맞춤법은?","듣다 말고","듣다가 말고","듣다 말았고","듣다가 갔다","듣다가 말고","“듣다가 말고”가 맞는 표현이다."
213,3,"“그는 자주 여행을 가다가 말고 공부를 했다”에서 올바른 맞춤법은?","가다 말고","가다가 말고","가며 말고","갔다가 말고","가다가 말고","“-다가 말고” 형태가 맞다."
214,3,"“그녀는 놀다가 말고 공부를 한다”에서 올바른 맞춤법은?","놀다 말고","놀다가 말고","놀다 말았고","놀고 말고","놀다가 말고","“-다가 말고” 형태가 맞다."
215,3,"“그는 전화를 받다가 말고 끊었다”에서 올바른 맞춤법은?","받다 말고","받다가 말고","받다 말았고","받다 말다","받다가 말고","“받다가 말고”가 맞는 표현이다."
216,3,"“나는 시험을 보다가 말고 다른 사람과 이야기했다”에서 올바른 맞춤법은?","보다가 말고","보다 말고","보며 말고","보기 말고","보다가 말고","“-다가 말고”가 맞는 표현이다."
217,3,"“그는 일을 하다가 말고 잠시 쉬었다”에서 올바른 맞춤법은?","일하다 말고","일하다가 말고","일하다 쉬었다","일하다 말았다","일하다가 말고","“-다가 말고”가 맞는 표현이다."
218,3,"“그녀는 길을 가다가 말고 사람을 만났다”에서 올바른 맞춤법은?","가다 말고","가다가 말고","가며 말고","갔다가 말고","가다가 말고","“-다가 말고” 형태가 맞다."
219,3,"“그는 운동을 하다가 말고 책을 읽었다”에서 올바른 맞춤법은?","운동하다 말고","운동하다가 말고","운동하며 말고","운동하다 쉬었다","운동하다가 말고","“-다가 말고” 형태가 맞다."
220,3,"“그녀는 책을 읽다가 말고 노래를 불렀다”에서 올바른 맞춤법은?","읽다 말고","읽다가 말고","읽다 말았고","읽다 부르다","읽다가 말고","“-다가 말고” 형태가 맞다."
221,3,"“그는 발표를 하다가 말고 멈췄다”에서 올바른 맞춤법은?","하다 말고","하다가 말고","하며 말고","한 후 말고","하다가 말고","‘하다가 말고’가 올바른 표현이다. ‘하다가’는 동작이 중간에 멈추는 것을 의미하며, ‘말고’는 다른 행동을 한다는 뜻이다."
222,3,"“나는 운동을 하다가 말고 쉬었다”에서 올바른 맞춤법은?","하다 말고","하며 말고","하다가 말고","한 후 말고","하다가 말고","운동을 하던 중에 멈추고 다른 행동(쉬었다)을 했으므로 ‘하다가 말고’가 맞다."
223,3,"“그녀는 편지를 쓰다가 말고 울었다”에서 올바른 맞춤법은?","쓰며 말고","쓰다가 말고","쓰다 말고","쓴 후 말고","쓰다가 말고","‘쓰다가’는 동작이 중단됨을 나타내므로, ‘쓰다가 말고’가 올바른 표현이다."
224,3,"“그는 TV를 보다가 말고 나갔다”에서 올바른 맞춤법은?","보다가 말고","보며 말고","본 후 말고","보다 말고","보다가 말고","TV를 보던 중에 멈추고 다른 행동(나갔다)을 했으므로 ‘보다가 말고’가 맞다."
225,3,"“나는 공부를 하다가 말고 전화를 받았다”에서 올바른 맞춤법은?","하다 말고","한 후 말고","하며 말고","하다가 말고","하다가 말고","공부를 하던 중에 멈추고 전화를 받았으므로 ‘하다가 말고’가 올바르다."
226,3,"“그녀는 요리를 하다가 말고 밖으로 나갔다”에서 올바른 맞춤법은?","한 후 말고","하다가 말고","하며 말고","하다 말고","하다가 말고","요리를 하던 중에 멈추고 다른 행동(나갔다)을 했으므로 ‘하다가 말고’가 맞다."
227,3,"“그는 책을 읽다가 말고 창밖을 바라보았다”에서 올바른 맞춤법은?","읽다 말고","읽으며 말고","읽다가 말고","읽은 후 말고","읽다가 말고","책을 읽던 중에 멈추고 창밖을 바라보았으므로 ‘읽다가 말고’가 맞다."
228,3,"“나는 영화를 보다가 말고 잠이 들었다”에서 올바른 맞춤법은?","보며 말고","보다가 말고","본 후 말고","보다 말고","보다가 말고","영화를 보다 중단하고 잠이 들었으므로 ‘보다가 말고’가 맞다."
229,3,"“그녀는 가방을 싸다가 말고 전화를 받았다”에서 올바른 맞춤법은?","싸다 말고","싸며 말고","싸다가 말고","싼 후 말고","싸다가 말고","가방을 싸던 중에 멈추고 전화를 받았으므로 ‘싸다가 말고’가 맞다."
230,3,"“그는 운동을 하다가 말고 친구를 만났다”에서 올바른 맞춤법은?","하다가 말고","하며 말고","한 후 말고","하다 말고","하다가 말고","운동을 하던 중에 멈추고 친구를 만났으므로 ‘하다가 말고’가 맞다."
231,3,"“나는 숙제를 하다가 말고 TV를 켰다”에서 올바른 맞춤법은?","하다가 말고","하며 말고","하다 말고","한 후 말고","하다가 말고","숙제를 하던 중에 멈추고 TV를 켰으므로 ‘하다가 말고’가 맞다."
232,3,"“그녀는 그림을 그리다가 말고 창문을 열었다”에서 올바른 맞춤법은?","그리다 말고","그리다가 말고","그리며 말고","그린 후 말고","그리다가 말고","그림을 그리던 중에 멈추고 창문을 열었으므로 ‘그리다가 말고’가 맞다."
233,3,"“그는 노래를 부르다가 말고 갑자기 춤을 췄다”에서 올바른 맞춤법은?","부르다 말고","부르다가 말고","부르며 말고","부른 후 말고","부르다가 말고","노래를 부르던 중에 멈추고 춤을 췄으므로 ‘부르다가 말고’가 맞다."
234,3,"“나는 신문을 읽다가 말고 뉴스를 틀었다”에서 올바른 맞춤법은?","읽다 말고","읽다가 말고","읽으며 말고","읽은 후 말고","읽다가 말고","신문을 읽던 중에 멈추고 뉴스를 틀었으므로 ‘읽다가 말고’가 맞다."
235,3,"“그녀는 글을 쓰다가 말고 물을 마셨다”에서 올바른 맞춤법은?","쓰다 말고","쓰며 말고","쓰다가 말고","쓴 후 말고","쓰다가 말고","글을 쓰던 중에 멈추고 물을 마셨으므로 ‘쓰다가 말고’가 맞다."
236,3,"“나는 친구와 이야기를 하다가 말고 밖으로 나갔다”에서 올바른 맞춤법은?","하다 말고","하며 말고","하다가 말고","한 후 말고","하다가 말고","이야기를 하던 중에 멈추고 밖으로 나갔으므로 ‘하다가 말고’가 맞다."
237,3,"“그는 영화를 보다가 말고 메시지를 확인했다”에서 올바른 맞춤법은?","보다 말고","보다가 말고","보며 말고","본 후 말고","보다가 말고","영화를 보던 중에 멈추고 메시지를 확인했으므로 ‘보다가 말고’가 맞다."
238,3,"“나는 공부를 하다가 말고 잠시 산책을 했다”에서 올바른 맞춤법은?","하다 말고","하다가 말고","하며 말고","한 후 말고","하다가 말고","공부를 하던 중에 멈추고 산책을 했으므로 ‘하다가 말고’가 맞다."
239,3,"“그녀는 편지를 쓰다가 말고 눈물을 흘렸다”에서 올바른 맞춤법은?","쓰며 말고","쓰다가 말고","쓰다 말고","쓴 후 말고","쓰다가 말고","편지를 쓰던 중에 멈추고 눈물을 흘렸으므로 ‘쓰다가 말고’가 맞다."
240,3,"“나는 음악을 듣다가 말고 창밖을 내다보았다”에서 올바른 맞춤법은?","듣다 말고","듣다가 말고","듣으며 말고","들은 후 말고","듣다가 말고","음악을 듣던 중에 멈추고 창밖을 내다보았으므로 ‘듣다가 말고’가 맞다."
241,3,"“그는 밥을 먹다가 말고 전화를 받았다”에서 올바른 맞춤법은?","먹다 말고","먹으며 말고","먹다가 말고","먹은 후 말고","먹다가 말고","밥을 먹던 중에 멈추고 전화를 받았으므로 ‘먹다가 말고’가 맞다."
242,3,"“나는 영화를 보다가 말고 화장실에 갔다”에서 올바른 맞춤법은?","보다 말고","보다가 말고","보며 말고","본 후 말고","보다가 말고","영화를 보던 중에 멈추고 화장실에 갔으므로 ‘보다가 말고’가 맞다."
